ID;createdAt;createdBy;modifiedAt;modifiedBy;name;description
1;2020-09-24T14:21:47.771Z;Lennert;2020-09-24T14:21:47.771Z;Lennert;Food;Everything you can eat
2;2020-09-24T14:21:47.771Z;Lennert;2020-09-24T14:21:47.771Z;Lennert;Flat;Everything you spend for your living 
3;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Salary; You monthly salary
4;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Shares; Everything you receive and/or spend for Shares
5;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Bonus; Your bonus
6;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Health; Everything you spend for your health
7;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Shopping; Everything you spend on shopping
8;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Education; Everything you spend on education
9;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Insurance; Everything you spend on insurance
10;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Travels; Everything you spend on travel
11;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Entertainments; Everything you spend on entertainments
12;2022-04-24T14:21:47.771Z;Zarina;2022-04-24T14:21:47.771Z;Zarina;Real Estate; Everything you receive and/or spend on owned real estate
